FB,IS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Nom Produit,,,,,,,,Rotor,,Moteur,,Shaft,,,,,,,,,,,,,,,,,,,,,
,,ID,Marque,Réference,Gamme,Sous-Gamme,Classe,Date de Sortie,KV,Poids,Hauteur,Diametre,Hauteur,Diametre,Diammetre Shaft,Longeur Shaft,Type Shaft,Vis Hélice,Fixation,Entraxe de Fixation,Tension Lipo,Lipo Voltage,Longueur Cable,Type cable,Puissance,Conso Statique,Conso Full,Esc recommandé,Hélice recommandé,Amperage Max,Utilisation,Résistance,Aimant,Configuration,Lien Officiel,IMG
,,Brot-2507-1750,BrotherHobby,AVENGER 2507 V2,,,2507,,1750,,07,25,,,,,,,,,,,,,,,,,,,,,,,,
,,Brot-2510-1030,BrotherHobby,AVENGER 2510,,,2510,,1030,,10,25,,,,,,,,,,,,,,,,,,,,,,,,
,,Brot-2510-1380,BrotherHobby,AVENGER 2510,,,2510,,1380,,10,25,,,,,,,,,,,,,,,,,,,,,,,,
,,Brot-2510-930,BrotherHobby,AVENGER 2510,,,2510,,930,,10,25,,,,,,,,,,,,,,,,,,,,,,,,
,,Brot-2806.5-1700,BrotherHobby,AVENGER 2806.5,,,2806.5,,1700,,.5,28,,,,,,,,,,,,,,,,,,,,,,,,
,,Brot-2806.5-1300,BrotherHobby,AVENGER 2806.5,,,2806.5,,1300,,.5,28,,,,,,,,,,,,,,,,,,,,,,,,
,,Brot-2808-1900,BrotherHobby,AVENGER 2808,,,2808,,1900,,08,28,,,,,,,,,,,,,,,,,,,,,,,,
,,Brot-2808-1500,BrotherHobby,AVENGER 2808,,,2808,,1500,,08,28,,,,,,,,,,,,,,,,,,,,,,,,
,,Brot-2810-1500,BrotherHobby,AVENGER 2810,,,2810,,1500,,10,28,,,,,,,,,,,,,,,,,,,,,,,,
,,Brot-2810-860,BrotherHobby,AVENGER 2810,,,2810,,860,,10,28,,,,,,,,,,,,,,,,,,,,,,,,
,,Brot-2810-1180,BrotherHobby,AVENGER 2810,,,2810,,1180,,10,28,,,,,,,,,,,,,,,,,,,,,,,,
,,Brot-2810-960,BrotherHobby,AVENGER 2810,,,2810,,960,,10,28,,,,,,,,,,,,,,,,,,,,,,,,
,,Brot-2812-1115,BrotherHobby,AVENGER 2812 V2,,,2812,,1115,,12,28,,,,,,,,,,,,,,,,,,,,,,,,
,,Brot-2812-900,BrotherHobby,AVENGER 2812 V2,,,2812,,900,,12,28,,,,,,,,,,,,,,,,,,,,,,,,
,,Brot-2812-1115,BrotherHobby,AVENGER 2812 V3,,,2812,,1115,,12,28,,,,,,,,,,,,,,,,,,,,,,,,
,,Brot-2812-900,BrotherHobby,AVENGER 2812 V3,,,2812,,900,,12,28,,,,,,,,,,,,,,,,,,,,,,,,
,,Brot-2004-1650,BrotherHobby,AVENGER LR 2004,,,2004,,1650,,04,20,,,,,,,,,,,,,,,,,,,,,,,,
,,Brot-2004-1700,BrotherHobby,AVENGER SE 2004,,,2004,,1700,,04,20,,,,,,,,,,,,,,,,,,,,,,,,
,,Brot-2004-3150,BrotherHobby,AVENGER SE 2004,,,2004,,3150,,04,20,,,,,,,,,,,,,,,,,,,,,,,,
,,Brot-2004-1950,BrotherHobby,AVENGER SE 2004,,,2004,,1950,,04,20,,,,,,,,,,,,,,,,,,,,,,,,
,,Brot-2004-2100,BrotherHobby,AVENGER SE 2004,,,2004,,2100,,04,20,,,,,,,,,,,,,,,,,,,,,,,,
,,Brot-2207.5-1750,BrotherHobby,DXA 2207.5,,,2207.5,,1750,,.5,22,,,,,,,,,,,,,,,,,,,,,,,,
,,Brot-2207.5-1920,BrotherHobby,DXA 2207.5,,,2207.5,,1920,,.5,22,,,,,,,,,,,,,,,,,,,,,,,,
,,Brot-2307-2500,BrotherHobby,ENGINEERX 2307,,,2307,,2500,,07,23,,,,,,,,,,,,,,,,,,,,,,,,
,,Brot-2307-1750,BrotherHobby,ENGINEERX 2307,,,2307,,1750,,07,23,,,,,,,,,,,,,,,,,,,,,,,,
,,Brot-2307-2700,BrotherHobby,ENGINEERX 2307,,,2307,,2700,,07,23,,,,,,,,,,,,,,,,,,,,,,,,
,ok,Brot-2207.5-2500,BrotherHobby,GOM2207.5,,,2207.5,,2500,,.5,22,,,,,,,,,,,,,,,,,,,,,,,,
,ok,Brot-2207.5-1920,BrotherHobby,GOM2207.5,,,2207.5,,1920,,.5,22,,,,,,,,,,,,,,,,,,,,,,,,
,ok,Brot-2207.5-1750,BrotherHobby,GOM2207.5,,,2207.5,,1750,,.5,22,,,,,,,,,,,,,,,,,,,,,,,,
,,Brot-2306.5-2000,BrotherHobby,LPD 2306.5,,,2306.5,,2000,,.5,23,,,,,,,,,,,,,,,,,,,,,,,,
,,Brot-2306.5-2650,BrotherHobby,LPD 2306.5,,,2306.5,,2650,,.5,23,,,,,,,,,,,,,,,,,,,,,,,,
,,Brot-2306.5-2450,BrotherHobby,LPD 2306.5,,,2306.5,,2450,,.5,23,,,,,,,,,,,,,,,,,,,,,,,,
,,Brot-2806.5-1700,BrotherHobby,LPD 2806.5,,,2806.5,,1700,,.5,28,,,,,,,,,,,,,,,,,,,,,,,,
,,Brot-2806.5-1300,BrotherHobby,LPD 2806.5,,,2806.5,,1300,,.5,28,,,,,,,,,,,,,,,,,,,,,,,,
,,Brot-10012-98,BrotherHobby,MAX 10012,,,10012,,98,,12,10,,,,,,,,,,,,,,,,,,,,,,,,
,,Brot-6210-167,BrotherHobby,MAX 6210,,,6210,,167,,10,62,,,,,,,,,,,,,,,,,,,,,,,,
,,Brot-7212-130,BrotherHobby,MAX 7212,,,7212,,130,,12,72,,,,,,,,,,,,,,,,,,,,,,,,
,,Brot-2205-2800,BrotherHobby,RETURNER R2 2205,,,2205,,2800,,05,22,,,,,,,,,,,,,,,,,,,,,,,,
,,Brot-2205-1750,BrotherHobby,RETURNER R2 2205,,,2205,,1750,,05,22,,,,,,,,,,,,,,,,,,,,,,,,
,,Brot-2205-2600,BrotherHobby,RETURNER R2 2205,,,2205,,2600,,05,22,,,,,,,,,,,,,,,,,,,,,,,,
,,Brot-2205-2300,BrotherHobby,RETURNER R2 2205,,,2205,,2300,,05,22,,,,,,,,,,,,,,,,,,,,,,,,
,,Brot-1103-8000,BrotherHobby,RETURNER R3 1103,,,1103,,8000,,03,11,,,,,,,,,,,,,,,,,,,,,,,,
,,Brot-1103-11000,BrotherHobby,RETURNER R3 1103,,,1103,,11000,,03,11,,,,,,,,,,,,,,,,,,,,,,,,
,,Brot-1106-7100,BrotherHobby,RETURNER R3 1106,,,1106,,7100,,06,11,,,,,,,,,,,,,,,,,,,,,,,,
,,Brot-1106-5100,BrotherHobby,RETURNER R3 1106,,,1106,,5100,,06,11,,,,,,,,,,,,,,,,,,,,,,,,
,,Brot-1402-9500,BrotherHobby,RETURNER R3 1402,,,1402,,9500,,02,14,,,,,,,,,,,,,,,,,,,,,,,,
,,Brot-1402-8100,BrotherHobby,RETURNER R3 1402,,,1402,,8100,,02,14,,,,,,,,,,,,,,,,,,,,,,,,
,,Brot-1404-2900,BrotherHobby,RETURNER R3 1404,,,1404,,2900,,04,14,,,,,,,,,,,,,,,,,,,,,,,,
,,Brot-1404-3650,BrotherHobby,RETURNER R3 1404,,,1404,,3650,,04,14,,,,,,,,,,,,,,,,,,,,,,,,
,,Brot-2206-2140,BrotherHobby,RETURNER R3 2206,,,2206,,2140,,06,22,,,,,,,,,,,,,,,,,,,,,,,,
,,Brot-2206-2600,BrotherHobby,RETURNER R3 2206,,,2206,,2600,,06,22,,,,,,,,,,,,,,,,,,,,,,,,
,,Brot-2206-1720,BrotherHobby,RETURNER R3 2206,,,2206,,1720,,06,22,,,,,,,,,,,,,,,,,,,,,,,,
,,Brot-2206-2300,BrotherHobby,RETURNER R3 2206,,,2206,,2300,,06,22,,,,,,,,,,,,,,,,,,,,,,,,
,,Brot-2207-2400,BrotherHobby,RETURNER R3 2207,,,2207,,2400,,07,22,,,,,,,,,,,,,,,,,,,,,,,,
,,Brot-2207-1660,BrotherHobby,RETURNER R3 2207,,,2207,,1660,,07,22,,,,,,,,,,,,,,,,,,,,,,,,
,,Brot-2207-2550,BrotherHobby,RETURNER R3 2207,,,2207,,2550,,07,22,,,,,,,,,,,,,,,,,,,,,,,,
,,Brot-1806-2850,BrotherHobby,RETURNER R4 1806,,,1806,,2850,,06,18,,,,,,,,,,,,,,,,,,,,,,,,
,ok,Brot-2205-2700,BrotherHobby,RETURNER R4 2205,,,2205,,2700,,05,22,,,,,,,,,,,,,,,,,,,,,,,,
,ok,Brot-2205-2450,BrotherHobby,RETURNER R4 2205,,,2205,,2450,,05,22,,,,,,,,,,,,,,,,,,,,,,,,
,,Brot-2206-2700,BrotherHobby,RETURNER R4 2206,,,2206,,2700,,06,22,,,,,,,,,,,,,,,,,,,,,,,,
,,Brot-2206-2600,BrotherHobby,RETURNER R4 2206,,,2206,,2600,,06,22,,,,,,,,,,,,,,,,,,,,,,,,
,,Brot-2206-2300,BrotherHobby,RETURNER R4 2206,,,2206,,2300,,06,22,,,,,,,,,,,,,,,,,,,,,,,,
,,Brot-2206-2450,BrotherHobby,RETURNER R4 2206,,,2206,,2450,,06,22,,,,,,,,,,,,,,,,,,,,,,,,
,,Brot-2207-2700,BrotherHobby,RETURNER R5 2207,,,2207,,2700,,07,22,,,,,,,,,,,,,,,,,,,,,,,,
,,Brot-2207-2500,BrotherHobby,RETURNER R5 2207,,,2207,,2500,,07,22,,,,,,,,,,,,,,,,,,,,,,,,
,,Brot-2207-2400,BrotherHobby,RETURNER R5 2207,,,2207,,2400,,07,22,,,,,,,,,,,,,,,,,,,,,,,,
,,Brot-2207-1750,BrotherHobby,RETURNER R5 2207,,,2207,,1750,,07,22,,,,,,,,,,,,,,,,,,,,,,,,
,,Brot-2306-2650,BrotherHobby,RETURNER R5 2306 DEADPOOL,,,2306,,2650,,06,23,,,,,,,,,,,,,,,,,,,,,,,,
,,Brot-2306-2450,BrotherHobby,RETURNER R5 2306 DEADPOOL,,,2306,,2450,,06,23,,,,,,,,,,,,,,,,,,,,,,,,
,ok,Brot-2306-2650,BrotherHobby,RETURNER R5 2306 REDHULK,,,2306,,2650,,06,23,,,,,,,,,,,,,,,,,,,,,,,,
,ok,Brot-2306-2450,BrotherHobby,RETURNER R5 2306 REDHULK,,,2306,,2450,,06,23,,,,,,,,,,,,,,,,,,,,,,,,
,,Brot-2205-1750,BrotherHobby,RETURNER R6 2205 RAINBOW,,,2205,,1750,,05,22,,,,,,,,,,,,,,,,,,,,,,,,
,,Brot-2205-2700,BrotherHobby,RETURNER R6 2205 RAINBOW,,,2205,,2700,,05,22,,,,,,,,,,,,,,,,,,,,,,,,
,,Brot-2205-2400,BrotherHobby,RETURNER R6 2205 RAINBOW,,,2205,,2400,,05,22,,,,,,,,,,,,,,,,,,,,,,,,
,,Brot-2207-2550,BrotherHobby,RETURNER R6 2207 PRO,,,2207,,2550,,07,22,,,,,,,,,,,,,,,,,,,,,,,,
,,Brot-2207-1750,BrotherHobby,RETURNER R6 2207 PRO,,,2207,,1750,,07,22,,,,,,,,,,,,,,,,,,,,,,,,
,,Brot-2207-1750,BrotherHobby,RETURNER R6 2207 RAINBOW,,,2207,,1750,,07,22,,,,,,,,,,,,,,,,,,,,,,,,
,,Brot-2207-2400,BrotherHobby,RETURNER R6 2207 RAINBOW,,,2207,,2400,,07,22,,,,,,,,,,,,,,,,,,,,,,,,
,,Brot-2207-2700,BrotherHobby,RETURNER R6 2207 RAINBOW,,,2207,,2700,,07,22,,,,,,,,,,,,,,,,,,,,,,,,
,,Brot-2306-1660,BrotherHobby,RETURNER R6 2306 RAINBOW,,,2306,,1660,,06,23,,,,,,,,,,,,,,,,,,,,,,,,
,,Brot-2306-2650,BrotherHobby,RETURNER R6 2306 RAINBOW,,,2306,,2650,,06,23,,,,,,,,,,,,,,,,,,,,,,,,
,,Brot-2306-2450,BrotherHobby,RETURNER R6 2306 RAINBOW,,,2306,,2450,,06,23,,,,,,,,,,,,,,,,,,,,,,,,
,,Brot-4008-490,BrotherHobby,RETURNER R7 4008,,,4008,,490,,08,40,,,,,,,,,,,,,,,,,,,,,,,,
,,Brot-2208-2400,BrotherHobby,RETURNER R8 2208,,,2208,,2400,,08,22,,,,,,,,,,,,,,,,,,,,,,,,
,,Brot-2208-1800,BrotherHobby,RETURNER R8 2208,,,2208,,1800,,08,22,,,,,,,,,,,,,,,,,,,,,,,,
,,Brot-2208-2700,BrotherHobby,RETURNER R8 2208,,,2208,,2700,,08,22,,,,,,,,,,,,,,,,,,,,,,,,
,,Brot-2318-1250,BrotherHobby,REUNION 2318,,,2318,,1250,,18,23,,,,,,,,,,,,,,,,,,,,,,,,
,,Brot-2318-890,BrotherHobby,REUNION 2318,,,2318,,890,,18,23,,,,,,,,,,,,,,,,,,,,,,,,
,,Brot-2318-1450,BrotherHobby,REUNION 2318,,,2318,,1450,,18,23,,,,,,,,,,,,,,,,,,,,,,,,
,,Brot-2318-2500,BrotherHobby,REUNION 2318,,,2318,,2500,,18,23,,,,,,,,,,,,,,,,,,,,,,,,
,,Brot-2207.5-1560,BrotherHobby,SPEED SHIELD 2207.5 V2,,,2207.5,,1560,,.5,22,,,,,,,,,,,,,,,,,,,,,,,,
,,Brot-2207.5-1750,BrotherHobby,SPEED SHIELD 2207.5 V2,,,2207.5,,1750,,.5,22,,,,,,,,,,,,,,,,,,,,,,,,
,,Brot-2207.5-2400,BrotherHobby,SPEED SHIELD 2207.5 V2,,,2207.5,,2400,,.5,22,,,,,,,,,,,,,,,,,,,,,,,,
,,Brot-2207.5-2700,BrotherHobby,SPEED SHIELD 2207.5 V2,,,2207.5,,2700,,.5,22,,,,,,,,,,,,,,,,,,,,,,,,
,,Brot-2207.5-3400,BrotherHobby,SPEED SHIELD 2207.5 V2,,,2207.5,,3400,,.5,22,,,,,,,,,,,,,,,,,,,,,,,,
,,Brot-2207.5-2108,BrotherHobby,SPEED SHIELD 2207.5 V2,,,2207.5,,2108,,.5,22,,,,,,,,,,,,,,,,,,,,,,,,
,,Brot-2207.5-1920,BrotherHobby,SPEED SHIELD 2207.5 V2,,,2207.5,,1920,,.5,22,,,,,,,,,,,,,,,,,,,,,,,,
,,Brot-2207.5-2700,BrotherHobby,SPEED SHIELD 2207.5 V3,,,2207.5,,2700,,.5,22,,,,,,,,,,,,,,,,,,,,,,,,
,,Brot-2207.5-1920,BrotherHobby,SPEED SHIELD 2207.5 V3,,,2207.5,,1920,,.5,22,,,,,,,,,,,,,,,,,,,,,,,,
,,Brot-2207.5-2400,BrotherHobby,SPEED SHIELD 2207.5 V3,,,2207.5,,2400,,.5,22,,,,,,,,,,,,,,,,,,,,,,,,
,,Brot-2207.5-1750,BrotherHobby,SPEED SHIELD 2207.5 V3,,,2207.5,,1750,,.5,22,,,,,,,,,,,,,,,,,,,,,,,,
,,Brot-2205-2300,BrotherHobby,TORNADO 2205,,,2205,,2300,,05,22,,,,,,,,,,,,,,,,,,,,,,,,
,,Brot-2205-2800,BrotherHobby,TORNADO 2205,,,2205,,2800,,05,22,,,,,,,,,,,,,,,,,,,,,,,,
,,Brot-2205-2600,BrotherHobby,TORNADO 2205,,,2205,,2600,,05,22,,,,,,,,,,,,,,,,,,,,,,,,
,,Brot-1407-2800,BrotherHobby,TORNADO T1 1407,,,1407,,2800,,07,14,,,,,,,,,,,,,,,,,,,,,,,,
,,Brot-1407-4100,BrotherHobby,TORNADO T1 1407,,,1407,,4100,,07,14,,,,,,,,,,,,,,,,,,,,,,,,
,,Brot-1407-3600,BrotherHobby,TORNADO T1 1407,,,1407,,3600,,07,14,,,,,,,,,,,,,,,,,,,,,,,,
,,Brot-5215-330,BrotherHobby,TORNADO T10 5215 PRO X CLASS,,,5215,,330,,15,52,,,,,,,,,,,,,,,,,,,,,,,,
,,Brot-5215-500,BrotherHobby,TORNADO T10 5215 PRO X CLASS,,,5215,,500,,15,52,,,,,,,,,,,,,,,,,,,,,,,,
,,Brot-5215-170,BrotherHobby,TORNADO T10 5215 PRO X CLASS,,,5215,,170,,15,52,,,,,,,,,,,,,,,,,,,,,,,,
,,Brot-1608-3200,BrotherHobby,TORNADO T2 1608,,,1608,,3200,,08,16,,,,,,,,,,,,,,,,,,,,,,,,
,,Brot-2206-1800,BrotherHobby,TORNADO T2 2206,,,2206,,1800,,06,22,,,,,,,,,,,,,,,,,,,,,,,,
,,Brot-2206-2450,BrotherHobby,TORNADO T2 2206,,,2206,,2450,,06,22,,,,,,,,,,,,,,,,,,,,,,,,
,,Brot-2206-2600,BrotherHobby,TORNADO T2 2206,,,2206,,2600,,06,22,,,,,,,,,,,,,,,,,,,,,,,,
,,Brot-2206-2300,BrotherHobby,TORNADO T2 2206,,,2206,,2300,,06,22,,,,,,,,,,,,,,,,,,,,,,,,
,,Brot-3115-900,BrotherHobby,TORNADO T5 3115 PRO,,,3115,,900,,15,31,,,,,,,,,,,,,,,,,,,,,,,,
,,Brot-3115-1050,BrotherHobby,TORNADO T5 3115 PRO,,,3115,,1050,,15,31,,,,,,,,,,,,,,,,,,,,,,,,
,,Brot-3115-1520,BrotherHobby,TORNADO T5 3115 PRO,,,3115,,1520,,15,31,,,,,,,,,,,,,,,,,,,,,,,,
,,Brot-4215-520,BrotherHobby,TORNADO T7 4215 X CLASS,,,4215,,520,,15,42,,,,,,,,,,,,,,,,,,,,,,,,
,,Brot-4215-800,BrotherHobby,TORNADO T7 4215 X CLASS,,,4215,,800,,15,42,,,,,,,,,,,,,,,,,,,,,,,,
,,Brot-4215-680,BrotherHobby,TORNADO T7 4215 X CLASS,,,4215,,680,,15,42,,,,,,,,,,,,,,,,,,,,,,,,
,,Brot-2306-2650,BrotherHobby,TORNADO Y3 2306,,,2306,,2650,,06,23,,,,,,,,,,,,,,,,,,,,,,,,
,,Brot-2306-2450,BrotherHobby,TORNADO Y3 2306,,,2306,,2450,,06,23,,,,,,,,,,,,,,,,,,,,,,,,
,,Brot-2207-1750,BrotherHobby,UC 2207,,,2207,,1750,,07,22,,,,,,,,,,,,,,,,,,,,,,,,
,,Brot-2206-2600,BrotherHobby,VENOM 2206,,,2206,,2600,,06,22,,,,,,,,,,,,,,,,,,,,,,,,
,,Brot-2206-1900,BrotherHobby,VENOM 2206,,,2206,,1900,,06,22,,,,,,,,,,,,,,,,,,,,,,,,
,,Brot-2206-2400,BrotherHobby,VENOM 2206,,,2206,,2400,,06,22,,,,,,,,,,,,,,,,,,,,,,,,
,,Brot-1504.5-2650,BrotherHobby,VY 1504.5,,,1504.5,,2650,,.5,15,,,,,,,,,,,,,,,,,,,,,,,,
,,Brot-1504.5-2950,BrotherHobby,VY 1504.5,,,1504.5,,2950,,.5,15,,,,,,,,,,,,,,,,,,,,,,,,
,,Brot-1504.5-3950,BrotherHobby,VY 1504.5,,,1504.5,,3950,,.5,15,,,,,,,,,,,,,,,,,,,,,,,,
,,Brot-1507-3100,BrotherHobby,VY 1507,,,1507,,3100,,07,15,,,,,,,,,,,,,,,,,,,,,,,,
,,Brot-1507-1900,BrotherHobby,VY 1507,,,1507,,1900,,07,15,,,,,,,,,,,,,,,,,,,,,,,,
,,Brot-1507-1550,BrotherHobby,VY 1507,,,1507,,1550,,07,15,,,,,,,,,,,,,,,,,,,,,,,,
,,Brot-1507-4150,BrotherHobby,VY 1507,,,1507,,4150,,07,15,,,,,,,,,,,,,,,,,,,,,,,,
,,Brot-2004-1700,BrotherHobby,VY 2004 ULTRALIGHT,,,2004,,1700,,04,20,,,,,,,,,,,,,,,,,,,,,,,,
,,Brot-2004-1950,BrotherHobby,VY 2004 ULTRALIGHT,,,2004,,1950,,04,20,,,,,,,,,,,,,,,,,,,,,,,,
,,Brot-2004-2100,BrotherHobby,VY 2004 ULTRALIGHT,,,2004,,2100,,04,20,,,,,,,,,,,,,,,,,,,,,,,,
,,Brot-2004-3150,BrotherHobby,VY 2004 ULTRALIGHT,,,2004,,3150,,04,20,,,,,,,,,,,,,,,,,,,,,,,,
,,COBR-2206-2100,COBRA,2206,,,2206,,2100,,06,22,,,,,,,,,,,,,,,,,,,,,,,,
,,COBR-2208-2000,COBRA,2208,,,2208,,2000,,08,22,,,,,,,,,,,,,,,,,,,,,,,,
,,COBR-2208-2000,COBRA,2208,,,2208,,2000,,08,22,,,,,,,,,,,,,,,,,,,,,,,,
,,COBR-2217-750,COBRA,2217,,,2217,,750,,17,22,,,,,,,,,,,,,,,,,,,,,,,,
,,Diat-1103-12000,Diatone,MAMBA 1103,,,1103,,12000,,03,11,,,,,,,,,,,,,,,,,,,,,,,,
,,Diat-1103-6500,Diatone,MAMBA 1103,,,1103,,6500,,03,11,,,,,,,,,,,,,,,,,,,,,,,,
,,Diat-1103-8500,Diatone,MAMBA 1103,,,1103,,8500,,03,11,,,,,,,,,,,,,,,,,,,,,,,,
,,Diat-1105-5500,Diatone,MAMBA 1105,,,1105,,5500,,05,11,,,,,,,,,,,,,,,,,,,,,,,,
,,Diat-1404-3000,Diatone,MAMBA 1404,,,1404,,3000,,04,14,,,,,,,,,,,,,,,,,,,,,,,,
,,Diat-1408-4000,Diatone,MAMBA 1408,,,1408,,4000,,08,14,,,,,,,,,,,,,,,,,,,,,,,,
,,Diat-1408-2800,Diatone,MAMBA 1408,,,1408,,2800,,08,14,,,,,,,,,,,,,,,,,,,,,,,,
,,Diat-2207-2650,Diatone,MAMBA 2207,,,2207,,2650,,07,22,,,,,,,,,,,,,,,,,,,,,,,,
,,Diat-1103-10000,Diatone,MAMBA TOKA 1103,,,1103,,10000,,03,11,,,,,,,,,,,,,,,,,,,,,,,,
,,Diat-1103-8500,Diatone,MAMBA TOKA 1103,,,1103,,8500,,03,11,,,,,,,,,,,,,,,,,,,,,,,,
,ok,Diat-1206-4500,Diatone,MAMBA TOKA 1206,,,1206,,4500,,06,12,,,,,,,,,,,,,,,,,,,,,,,,
,ok,Diat-1206-2450,Diatone,MAMBA TOKA 1206,,,1206,,2450,,06,12,,,,,,,,,,,,,,,,,,,,,,,,
,ok,Diat-1206-3600,Diatone,MAMBA TOKA 1206,,,1206,,3600,,06,12,,,,,,,,,,,,,,,,,,,,,,,,
,ok,Diat-1206-6000,Diatone,MAMBA TOKA 1206,,,1206,,6000,,06,12,,,,,,,,,,,,,,,,,,,,,,,,
,ok,Diat-1206-7500,Diatone,MAMBA TOKA 1206,,,1206,,7500,,06,12,,,,,,,,,,,,,,,,,,,,,,,,
,,Diat-2203.5-1650,Diatone,MAMBA TOKA 2203.5,,,2203.5,,1650,,.5,22,,,,,,,,,,,,,,,,,,,,,,,,
,,Diat-2203.5-2650,Diatone,MAMBA TOKA 2203.5,,,2203.5,,2650,,.5,22,,,,,,,,,,,,,,,,,,,,,,,,
,,Diat-2207.5-2650,Diatone,MAMBA TOKA 2207.5,,,2207.5,,2650,,.5,22,,,,,,,,,,,,,,,,,,,,,,,,
,,Diat-2207.5-1700,Diatone,MAMBA TOKA 2207.5,,,2207.5,,1700,,.5,22,,,,,,,,,,,,,,,,,,,,,,,,
,,Diat-2207.5-2450,Diatone,MAMBA TOKA 2207.5,,,2207.5,,2450,,.5,22,,,,,,,,,,,,,,,,,,,,,,,,
,,Diat-2207.5-1800,Diatone,MAMBA TOKA 2207.5,,,2207.5,,1800,,.5,22,,,,,,,,,,,,,,,,,,,,,,,,
,,Diat-1404-5000,Diatone,MANBA 1404,,,1404,,5000,,04,14,,,,,,,,,,,,,,,,,,,,,,,,
,,Diat-1404-3650,Diatone,MANBA 1404,,,1404,,3650,,04,14,,,,,,,,,,,,,,,,,,,,,,,,
,,Diat-1606-2700,Diatone,MANKA TOKA 1606,,,1606,,2700,,06,16,,,,,,,,,,,,,,,,,,,,,,,,
,,Diat-1606-3750,Diatone,MANKA TOKA 1606,,,1606,,3750,,06,16,,,,,,,,,,,,,,,,,,,,,,,,
,,DJI-2212-920,DJI,2212,,,2212,,920,,12,22,,,,,,,,,,,,,,,,,,,,,,,,
,,Dual-2203-,DualSky,ECO 2203C,,,2203,,,,03,22,,,,,,,,,,,,,,,,,,,,,,,,
,,Dual-2203-,DualSky,ECO 2203C,,,2203,,,,03,22,,,,,,,,,,,,,,,,,,,,,,,,
,,Dual-2204-,DualSky,ECO 2204C,,,2204,,,,04,22,,,,,,,,,,,,,,,,,,,,,,,,
,,Dual-2204-,DualSky,ECO 2204C,,,2204,,,,04,22,,,,,,,,,,,,,,,,,,,,,,,,
,,Dual-2204-,DualSky,ECO 2204X,,,2204,,,,04,22,,,,,,,,,,,,,,,,,,,,,,,,
,,Dual-2204-,DualSky,ECO 2204X,,,2204,,,,04,22,,,,,,,,,,,,,,,,,,,,,,,,
,,Dual-2206-,DualSky,ECO 2206X,,,2206,,,,06,22,,,,,,,,,,,,,,,,,,,,,,,,
,,Dual-2206-,DualSky,ECO 2206X,,,2206,,,,06,22,,,,,,,,,,,,,,,,,,,,,,,,
,,Dual-2208-,DualSky,ECO 2208C,,,2208,,,,08,22,,,,,,,,,,,,,,,,,,,,,,,,
,,Dual-2208-,DualSky,ECO 2208C,,,2208,,,,08,22,,,,,,,,,,,,,,,,,,,,,,,,
,,Dual-2208-,DualSky,ECO 2208C,,,2208,,,,08,22,,,,,,,,,,,,,,,,,,,,,,,,
,,Dual-2208-,DualSky,ECO 2208C,,,2208,,,,08,22,,,,,,,,,,,,,,,,,,,,,,,,
,,Dual-2212-,DualSky,ECO 2212C,,,2212,,,,12,22,,,,,,,,,,,,,,,,,,,,,,,,
,,Dual-2212-,DualSky,ECO 2212C,,,2212,,,,12,22,,,,,,,,,,,,,,,,,,,,,,,,
,,Dual-2212-,DualSky,ECO 2212C,,,2212,,,,12,22,,,,,,,,,,,,,,,,,,,,,,,,
,,Dual-2212-,DualSky,ECO 2212C,,,2212,,,,12,22,,,,,,,,,,,,,,,,,,,,,,,,
,,Dual-2212-,DualSky,ECO 2212X,,,2212,,,,12,22,,,,,,,,,,,,,,,,,,,,,,,,
,,Dual-2212-,DualSky,ECO 2212X,,,2212,,,,12,22,,,,,,,,,,,,,,,,,,,,,,,,
,,Dual-2212-,DualSky,ECO 2212X,,,2212,,,,12,22,,,,,,,,,,,,,,,,,,,,,,,,
,,Dual-2216-,DualSky,ECO 2216C,,,2216,,,,16,22,,,,,,,,,,,,,,,,,,,,,,,,
,,Dual-2216-,DualSky,ECO 2216C,,,2216,,,,16,22,,,,,,,,,,,,,,,,,,,,,,,,
,,Dual-2216-,DualSky,ECO 2216C,,,2216,,,,16,22,,,,,,,,,,,,,,,,,,,,,,,,
,,Dual-2216-,DualSky,ECO 2216C,,,2216,,,,16,22,,,,,,,,,,,,,,,,,,,,,,,,
,,Dual-2216-,DualSky,ECO 2216X,,,2216,,,,16,22,,,,,,,,,,,,,,,,,,,,,,,,
,,Dual-2216-,DualSky,ECO 2216X,,,2216,,,,16,22,,,,,,,,,,,,,,,,,,,,,,,,
,,Dual-2216-,DualSky,ECO 2216X,,,2216,,,,16,22,,,,,,,,,,,,,,,,,,,,,,,,
,,Dual-2303-2000,DualSky,ECO 2303C,,,2303,,2000,,03,23,,,,,,,,,,,,,,,,,,,,,,,,
,,Dual-2303-1800,DualSky,ECO 2303C,,,2303,,1800,,03,23,,,,,,,,,,,,,,,,,,,,,,,,
,,Dual-2303-1470,DualSky,ECO 2303C,,,2303,,1470,,03,23,,,,,,,,,,,,,,,,,,,,,,,,
,,Dual-2304-1850,DualSky,ECO 2304C,,,2304,,1850,,04,23,,,,,,,,,,,,,,,,,,,,,,,,
,,Dual-2304-1450,DualSky,ECO 2304C,,,2304,,1450,,04,23,,,,,,,,,,,,,,,,,,,,,,,,
